site_id,site_name,city,state,site_type,therapeutic_areas,pi_name,pi_experience_years,beds
Site-001,Boston Medical Center,Boston,MA,academic,Respiratory; Oncology,Dr. Michael Lee,19,137
Site-002,New York Medical Center,New York,NY,academic,Oncology; Neurology,Dr. Christopher Brown,12,435
Site-003,Philadelphia Medical Center,Philadelphia,PA,academic,Cardiology; Respiratory,Dr. Christopher Smith,16,219
Site-004,Chicago Medical Center,Chicago,IL,academic,Cardiology; Respiratory,Dr. Jessica Thomas,19,184
Site-005,Los Angeles Medical Center,Los Angeles,CA,academic,Neurology,Dr. Christopher Rodriguez,11,102
Site-006,Omaha Regional Hospital,Omaha,NE,community,Respiratory; Gastroenterology,Dr. Mary Lee,19,69
Site-007,Nashville Regional Hospital,Nashville,TN,community,Endocrinology; Neurology,Dr. Linda Brown,6,63
Site-008,Phoenix Regional Hospital,Phoenix,AZ,community,Endocrinology; Neurology,Dr. Mary Martinez,8,101
Site-009,Dallas Regional Hospital,Dallas,TX,community,Cardiology,Dr. Joseph Thompson,17,107
Site-010,Houston Medical Center,Houston,TX,academic,Cardiology,Dr. James Lopez,12,338
Site-011,Miami Regional Hospital,Miami,FL,community,Neurology; Endocrinology,Dr. Robert Martinez,11,81
Site-012,Atlanta Medical Center,Atlanta,GA,academic,Cardiology; Immunology,Dr. Lisa Jones,7,480
Site-013,Seattle Medical Center,Seattle,WA,academic,Cardiology; Immunology,Dr. Susan Williams,5,395
Site-014,Denver Regional Hospital,Denver,CO,community,Neurology,Dr. Elizabeth Wilson,23,48
Site-015,Portland Regional Hospital,Portland,OR,community,Neurology,Dr. Patricia Wilson,11,47
Site-016,San Diego Medical Center,San Diego,CA,academic,Endocrinology; Respiratory; Gastroenterology,Dr. Barbara Lopez,24,274
Site-017,San Francisco Medical Center,San Francisco,CA,academic,Endocrinology; Immunology; Cardiology,Dr. James Lee,17,274
Site-018,Minneapolis Medical Center,Minneapolis,MN,academic,Gastroenterology,Dr. Charles Martinez,16,491
Site-019,Detroit Medical Center,Detroit,MI,academic,Cardiology; Neurology,Dr. Karen Lopez,11,162
Site-020,Cleveland Medical Center,Cleveland,OH,academic,Immunology; Respiratory,Dr. Mary Johnson,9,247
Site-021,Boston Medical Center,Boston,MA,academic,Gastroenterology; Neurology,Dr. Daniel Brown,15,444
Site-022,Boston Medical Center,Boston,MA,academic,Oncology,Dr. Jessica Taylor,5,452
Site-023,Philadelphia Medical Center,Philadelphia,PA,academic,Endocrinology; Cardiology,Dr. John Martin,24,409
Site-024,Chicago Medical Center,Chicago,IL,academic,Oncology; Immunology; Gastroenterology,Dr. James Hernandez,22,109
Site-025,Los Angeles Medical Center,Los Angeles,CA,academic,Cardiology,Dr. Thomas Johnson,5,58
Site-026,Omaha Regional Hospital,Omaha,NE,community,Cardiology; Endocrinology,Dr. William Williams,23,123
Site-027,Nashville Regional Hospital,Nashville,TN,community,Respiratory,Dr. Karen Williams,20,73
Site-028,Phoenix Regional Hospital,Phoenix,AZ,community,Cardiology,Dr. John Taylor,13,147
